publish,score,title
[日] 黑柳彻子 著 / 赵玉皎 / 南海出版公司 / 2003-1 / 20.00元,8.7,窗边的小豆豆
白先勇 / 广西师范大学出版社 / 2010-10 / 38.00元,8.9,台北人
杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元,8.7,我们仨
林崇德 主编 / 浙江教育出版社 / 1991-4 / 168.00元,9.4,中国少年儿童百科全书（全四册）
王小波 / 上海锦绣文章出版社 / 2008-5 / 18.00元,8.8,爱你就像爱生命
孔丘 编订 / 北京出版社 / 2006-7 / 19.90元,9.4,诗经
[美] 艾萨克·阿西莫夫 / 崔正男 / 江苏凤凰文艺出版社 / 2014-9 / 32.00元,9.0,永恒的终结
[德] 赫尔曼·黑塞 / 杨玉功 译 / 上海人民出版社 / 2009-3 / 20.00,9.0,悉达多
王国维 / 上海古籍出版社 / 1998-12-01 / 9.80元,9.0,人间词话
[英] 阿加莎·克里斯蒂 / 常禾 / 新星出版社 / 2013-3 / 28.00元,9.2,罗杰疑案
黄元吉 / 陕西人民出版社 / 1996-10 / 4.50元,9.5,道德经
[印] 罗宾德拉纳德·泰戈尔 / 徐翰林 / 哈尔滨出版社 / 2004-6 / 16.80元,8.9,飞鸟集
[美] 艾萨克·阿西莫夫 / 叶李华 / 天地出版社 / 2005-1 / 21.00元,9.2,基地
(法)阿尔贝·加缪 / 刘方 / 上海译文出版社 / 2013-8 / 34.00元,9.0,鼠疫
[美]马里奥·普佐 / 周汉林 / 译林出版社 / 1997-8 / 23.30元,9.0,教父
吴念真 / 译林出版社 / 2011-9 / 28.00元,8.8,这些人，那些事
蘅塘退士 / 中华书局 / 1998-1-1 / 0.65,9.4,唐诗三百首
[英] 肯·福莱特 / 于大卫 / 江苏凤凰文艺出版社 / 2016-5-1 / 129.80元,8.9,巨人的陨落
海子 / 人民文学出版社 / 1999-04 / 15.40,8.9,海子的诗
沈从文 / 北岳文艺出版社 / 2002-4 / 12.00元,8.7,边城
鲁迅 / 人民文学出版社 / 1973-12-01 / 0.31 元,9.4,故事新编
金庸 / 广州出版社 花城出版社 / 2008-3 / 108.00元,8.8,鹿鼎记（全五册）
三毛 / 北京十月文艺出版社 / 2007-6 / 28.00元,8.8,梦里花落知多少
[美] 约翰·威廉斯 / 杨向荣 / 上海人民出版社 / 2016-1 / 49.00元,8.8,斯通纳
[瑞典] 弗雷德里克·巴克曼 / 宁蒙 / 四川文艺出版社 / 2015-12 / 35.00元,9.0,一个叫欧维的男人决定去死
萧红 / 百花文艺出版社 / 2005-01 / 19.00,8.9,呼兰河传
[美] 阿图·葛文德（Atul Gawande） / 王一方 主编 / 浙江人民出版社 / 2015-7-31 / 49.90,9.0,最好的告别
[英] 史蒂芬·霍金 / 许明贤 / 湖南科学技术出版社 / 2010-4 / 45.00元,8.8,时间简史
